RECORD_ID,RECORD_TYPE,TIMESTAMP,AFFECTED_SYSTEMS,SEVERITY,STATUS,DURATION_MINUTES,AFFECTED_ASSOCIATE_COUNT,MTTR_MINUTES,IS_REGULATORY_REPORTABLE,TITLE,DESCRIPTION,ROOT_CAUSE_ANALYSIS,REMEDIATION_STEPS,LESSONS_LEARNED,REGULATORY_NARRATIVE
INC-2024-0892,INCIDENT,2024-01-15 08:45:00,"[""Workday"",""Expense Management""]",HIGH,Resolved,225,2847,185,FALSE,Workday Expense Module Degradation - Attachment Processing,"Starting at 08:45 EST on Monday January 15th, associates began experiencing significant latency and timeouts when submitting expense reports through Workday. The issue primarily affected submissions with multiple attachments (more than 5 images or PDFs). Associates reported wait times of 10-30 minutes followed by timeout errors. The problem was most severe between 08:45 and 11:30 during peak Monday morning usage combined with month-end expense deadline.","Investigation revealed that the Workday attachment processing service was overwhelmed due to a combination of factors: (1) Monday morning represents peak usage with 3x normal volume as associates submit weekend work, (2) January 15th was the month-end expense deadline driving 40% higher than normal submission volume, (3) A security patch deployed Saturday night (CHG-2024-0341) included enhanced attachment scanning for PCI-DSS compliance which increased processing time per attachment by approximately 40%, (4) The attachment processing service was configured for 8 pods which was insufficient for the combined load. The service queue backed up to 2,847 pending requests, causing cascading timeouts. One VP user's submission became stuck in a corrupted queue state requiring manual intervention.","1. Immediately scaled attachment processing pods from 8 to 24 at 10:15 EST. 2. Implemented request queuing with user-visible feedback (progress bar) at 11:00 EST. 3. Temporarily disabled deep attachment scanning while maintaining basic virus scanning at 11:30 EST. 4. Communicated workaround (batch submissions of 5 or fewer receipts) to affected associates via support tickets and Slack announcement at 09:30 EST. 5. Manually cleared corrupted queue entry for VP user at 13:00 EST. 6. Re-enabled full attachment scanning with increased capacity at 16:00 EST.","1. Implement auto-scaling for attachment processing service based on queue depth (due: Jan 22). 2. Add queue depth monitoring with alerting threshold at 500 pending (due: Jan 19). 3. Require load testing for any changes affecting attachment processing (process update: immediate). 4. Consider off-peak deployment windows for security patches affecting high-volume services. 5. Review month-end processing capacity requirements and pre-scale before known high-volume periods. 6. Add user-facing status page for expense system health.",
INC-2024-0889,INCIDENT,2024-01-14 02:30:00,"[""Zoom"",""Firewall""]",MEDIUM,Resolved,840,156,135,FALSE,Zoom Client Connection Blocked by Firewall Update,"Associates reported inability to connect to Zoom meetings starting Monday morning. Error messages indicated connection refused. Approximately 156 associates attempted to use Zoom between 08:00 and 14:30 before the issue was resolved. Several associates reported using personal devices for client calls as workaround, which was flagged as a compliance concern.","A firewall rule change (CHG-2024-0339) deployed early Sunday morning was intended to block unauthorized video conferencing applications (targeting shadow IT tools). However, the rule was overly broad and inadvertently blocked several ports used by the approved Zoom client. The change was tested against a subset of Zoom functionality but did not include comprehensive connection testing from all network segments. The issue was not detected immediately because usage of Zoom is lower on weekends.","1. Identified offending firewall rule at 13:00 EST Monday. 2. Rolled back firewall change at 13:30 EST. 3. Zoom connectivity restored by 14:00 EST. 4. Sent communication to affected associates explaining the issue. 5. Reviewed firewall change testing procedures with security team.",1. Require comprehensive application connectivity testing for any firewall changes affecting communication tools. 2. Implement automated smoke tests for approved applications after firewall changes. 3. Consider staged rollout for firewall changes with quick rollback capability. 4. Add Zoom and Teams connectivity to standard firewall change validation checklist.,
INC-2024-0885,INCIDENT,2024-01-11 09:45:00,"[""Outlook"",""Exchange""]",LOW,Resolved,180,89,45,FALSE,Outlook Search Indexing Delays,"Associates reported slow or incomplete search results in Outlook. Issue affected approximately 89 associates with mailboxes exceeding 30GB. Search queries took 30+ seconds or returned incomplete results.","Exchange search indexing service was impacted by a scheduled database maintenance job that ran longer than expected. The maintenance job consumed significant I/O resources, slowing the indexing service. Associates with larger mailboxes were disproportionately affected as their queries required more index lookups.","1. Paused non-critical database maintenance jobs. 2. Restarted search indexing service. 3. Full re-index completed for affected mailboxes within 3 hours.","1. Schedule database maintenance during lower-usage windows (midnight-4 AM). 2. Implement resource throttling for maintenance jobs to prevent impact on production services. 3. Add mailbox size recommendations to associate onboarding materials.",
INC-2024-0879,INCIDENT,2024-01-08 07:30:00,"[""VPN"",""Certificate Services""]",CRITICAL,Resolved,480,234,180,TRUE,VPN Certificate Validation Failure - Remote Worker Outage,"A certificate chain validation failure prevented remote associates from connecting to VPN starting Monday morning. Approximately 234 remote workers were unable to access corporate resources. Several associates missed morning meetings and experienced significant productivity loss.","The intermediate certificate in the VPN certificate chain expired at midnight Sunday. The certificate had a 2-year validity period and the expiration date was not tracked in the certificate management system. Automated monitoring only checked the end-entity certificate, not the full chain. The issue affected only the remote access VPN; site-to-site VPN was unaffected.","1. Identified expired intermediate certificate at 09:00 EST. 2. Renewed intermediate certificate from CA at 10:30 EST. 3. Deployed updated certificate to VPN gateways at 11:00 EST. 4. Associates able to reconnect by 11:30 EST. 5. Individual certificate refreshes required for 47 associates with cached credentials.","1. Implement full certificate chain monitoring including intermediate certificates. 2. Add 90-day, 30-day, and 7-day expiration alerts for all certificates. 3. Document certificate dependencies and ownership in CMDB. 4. Conduct quarterly certificate inventory review.","This incident resulted in significant productivity impact for remote workers. While no customer data was exposed or compromised, the 4-hour outage affected approximately 234 associates, resulting in estimated 936 lost work hours. The incident has been logged in the operational risk register. Root cause was preventable through improved certificate lifecycle management. Remediation actions have been prioritized and will be tracked to completion. FFIEC guidelines on business continuity were reviewed and no reporting threshold was met, but the incident will be included in the quarterly operational risk summary for board review."
INC-2024-0875,INCIDENT,2024-01-05 14:20:00,"[""ServiceNow""]",LOW,Resolved,90,45,60,FALSE,ServiceNow Performance Degradation,"Associates reported slow load times in ServiceNow. Ticket creation and search taking 15-30 seconds instead of normal 2-3 seconds. Issue lasted approximately 90 minutes during afternoon peak.","ServiceNow instance was affected by a scheduled report generation job that ran during business hours instead of the configured 2 AM schedule. The report job was triggered manually by an admin for an urgent executive request, not realizing the performance impact.","1. Identified runaway report job at 15:00 EST. 2. Cancelled job and rescheduled for after hours. 3. Performance returned to normal within 15 minutes of job cancellation.",1. Restrict manual report execution during business hours for reports flagged as resource-intensive. 2. Add estimated runtime to report execution confirmation dialog. 3. Implement resource quota for ad-hoc report execution.,
CHG-2024-0341,CHANGE,2024-01-13 02:00:00,"[""Workday""]",N/A,Completed,N/A,N/A,N/A,FALSE,Workday Security Patch 23.4.1 - Attachment Scanning Enhancement,"Deployed Workday security patch 23.4.1 which includes updated attachment scanning capabilities for PCI-DSS compliance. Changes include enhanced virus scanning using latest definitions, DLP (Data Loss Prevention) inspection for all uploaded documents to detect potential PII in attachments, and improved logging for audit trail. Expected 15-20% increase in attachment processing time based on vendor documentation and staging environment testing.","N/A - Planned Change","Deployment executed per standard change process: 1. Staged deployment to test environment Friday 5 PM. 2. Validation testing Saturday 10 AM - 2 PM. 3. Production deployment Saturday 2 AM maintenance window. 4. Post-deployment verification Saturday 8 AM. 5. Change marked complete Saturday 10 AM.","Post-implementation review scheduled for January 17. Initial monitoring shows attachment processing times within expected range during low-volume weekend period. Monday peak load performance to be monitored.",
CHG-2024-0339,CHANGE,2024-01-14 01:00:00,"[""Firewall"",""Network Security""]",N/A,Rolled Back,N/A,N/A,N/A,FALSE,Firewall Rule Update - Unauthorized Video Conferencing Block,"Implemented firewall rules to block unauthorized video conferencing applications identified through shadow IT discovery. Targeted applications: unauthorized Zoom accounts (non-enterprise), Google Meet (not approved), Discord, and various other collaboration tools. Rules designed to allow approved enterprise Zoom and Microsoft Teams.","N/A - Planned Change (Rolled Back)","Deployment executed during low-usage window. Rules applied to perimeter firewalls. ROLLED BACK on January 15 at 13:30 due to INC-2024-0889.","Change failed due to overly broad rule configuration that blocked approved Zoom client. Testing was insufficient. Change process review required. Revised rules to be resubmitted with comprehensive testing plan.",
CHG-2024-0338,CHANGE,2024-01-12 03:00:00,"[""Outlook"",""Exchange""]",N/A,Completed,N/A,N/A,N/A,FALSE,Outlook Desktop Client Update Deployment,"Deployed Microsoft Outlook update KB5034127 to all managed devices. Update includes security fixes and performance improvements. Notable change: Updated calendar sync logic for better mobile integration.","N/A - Planned Change","Deployment via SCCM to all managed devices. Staggered deployment over 48-hour period. Approximately 12,000 devices updated.","Update deployment successful. Minor issue reported with calendar duplicate entries for some users with heavy mobile usage (TKT-2024-45018). Known issue per Microsoft KB, fix expected in next monthly update.",
CHG-2024-0335,CHANGE,2024-01-10 02:00:00,"[""Concur""]",N/A,Completed,N/A,N/A,N/A,FALSE,Concur Receipt Processing Engine Update,"Vendor-managed update to Concur receipt OCR processing engine. Update includes improved text extraction and new supported file formats. Note: HEIC format support requires additional backend processing.","N/A - Planned Change","Vendor-managed deployment. No Capital One action required beyond notification acknowledgment.","Post-update testing shows HEIC file format issues. Ticket opened with vendor (Concur Case #8934521). Workaround documented for associates using iPhone HEIC photos.",
CHG-2024-0332,CHANGE,2024-01-08 04:00:00,"[""VPN"",""Security""]",N/A,Completed,N/A,N/A,N/A,FALSE,VPN Client Security Update - Certificate Chain Validation,"Updated VPN client software with enhanced certificate chain validation per security audit finding SEC-2023-089. Update improves validation of intermediate certificates and adds certificate pinning for known CA chains.","N/A - Planned Change","Deployed to all VPN gateways during maintenance window. Client update pushed to managed devices via SCCM.","Update successful. Uncovered expired intermediate certificate on remote access VPN (INC-2024-0879). Issue unrelated to update but exposed by improved validation.",
CHG-2024-0330,CHANGE,2024-01-05 02:00:00,"[""Microsoft Teams""]",N/A,Completed,N/A,N/A,N/A,FALSE,Microsoft Teams Client Update - January 2025,"Deployed Microsoft Teams client update with new features including improved screen sharing performance and updated meeting controls. Update deployed automatically via Microsoft CDN.","N/A - Planned Change","Auto-update deployment. Users received update on next application restart.","Deployment successful. Some users on older hardware (8GB RAM) reporting increased resource usage during screen share (TKT-2024-45006). Documented hardware recommendations for optimal Teams performance.",
INC-2024-0895,INCIDENT,2024-01-16 10:00:00,"[""Power BI"",""Analytics""]",LOW,Resolved,60,23,30,FALSE,Power BI Report Refresh Delays,"Scheduled Power BI report refreshes completed 45 minutes later than usual, causing some associates to see stale data in morning dashboards.","Increased data volume from month-end close created longer refresh times. Source data volume was 3x normal, extending refresh duration beyond scheduled window.","1. Identified delayed refresh jobs. 2. Manually triggered priority refreshes for critical dashboards. 3. Adjusted scheduled refresh windows for month-end periods.","1. Implement dynamic refresh scheduling based on data volume. 2. Add dashboard staleness indicator visible to end users. 3. Create priority refresh queue for critical business dashboards.",
